Hospital Id,Hospital Name,Address,Pin Code,PhONE NO
HOS-BLR-301,Dr.P.R. Desai Hospital Pvt Ltd,"# 6/6, Kumarkrupa Road, High Grounds, Sivananda Circle",560001,080-22260307
HOS-BLR-268,Dr. Vidyananda'S Surgery & Dia Centre,"2269, 22Nd Cross K R Roadk.R.Road",560070,080-26765771
HOS-BLR-401,Dr.Rudrappa'S Hospital,#5 Rajaram Mohan Roy Corss Road,560025,080-22278788
HOS-BLR-921,Dr.Sattur'S Hospital,"# 111, West Of Chord Road, Mahalaxmipuram",560086,080-23490162
HOS-BLR-2624,Sita Bhateja Speciality Hospital,"# 8&9, O Shavghnessy Road, Long Ford Gardens",560025,080-40302700
HOS-BLR-654,Dr.Zamindar'S Microsurgical Eye Centre,"#1013,1St Block,3Rd Cross,Hrbr Layout, Banaswadi 100Ft Road",560043,080-40900562
HOS-BLR-1535,Rotary Eye Hospital (A Unit Of Bangalore North Rotary Trust),"68Th Cross 10 A Main, 5Thblockrajajinagar",560010,080-23104020
HOS-BLR-269,Diagram Health Care,"4, R.M.V.Extensionmekhri Circle",560080,080-23613388
HOS-BLR-664,Gangothri Hospital,"#27, Kuvempu Nagar, (Btm.Layout)100 Ft Ring Road",560076,080-26682734
HOS-BLR-11,Garden City Hospital,"No.132/18, 22Nd Cross, 3Rd Block, Jayanagar",560011,080-26646202
HOS-BLR-12,Gayathri Hospital Pvt Ltd,"91, Magadi Chord Road, Vijayanagar",560040,080-23355201
HOS-BLR-615,Geetha Hospital,"Old Madras Road, Ramapura Crossnear Cipla Factory",560049,080-25913935
HOS-BLR-974,Geetha Nursing Home,"Vani Vilas Road, Basavanagudi",560004,080-231882139
HOS-BLR-1276,Greenview Healthcare Pvt. Ltd,"# 20 & 21, 14Th Main, Hsr Layout, Sector, Opp. Agara Lake",560034,080-25634563
HOS-BLR-562,Hitech Kidney Stone Hospital,"6/7, Cresent Road, Crosshigh Grounds",560001,080-51136035
HOS-BLR-14,P.D. Hinduja Sindhi Hospital,"12Th A Cross,Sampangiram Nagar",560027,080-49060600
HOS-BLR-15,Hosmat Hospital,"No-45, Magrath Road, Off Richmond Road",560025,080-25593796
HOS-BLR-786,Jayashree Nursing Home,No 4 4 Th Cross Kumara Park,560020,080-23440981
HOS-BLR-16,J.P.Hospital,#4516 B H Road Nelamangala Rural,562123,080-27722165
HOS-BLR-2162,Jai Maruthi Hospital,"#208 & 210, Hegganahallimain Road",560091,080-28361097
HOS-BLR-18,K.R. Hospital,"979, 25Th Main Road, Bsk 1St Stage 50 Feet Road, Hanumanthanagar",560050,080-26755800
HOS-BLR-1285,K.K. Hospital,"No 9, A1, A2, Opp M.E.C School, A Sector Yelahanka New Town",560064,080-28461933
HOS-BLR-1616,Kamala Nursing Home,"# 1077,14Th Main Hanumanthanagar",560019,080-26607445
HOS-BLR-270,Karthik Netralaya Institute Of Ophthalmology Private Limited,"#89, 6Th Cross, Ashok Nagar, N.R.Colony, 5Th Cross, Bsk 1St Stage",560050,080-26674399
HOS-BLR-288,Keerthana Nethralaya,No 2 B G Road Nelamangala,562123,080-27722051
HOS-BLR-1987,Ketham'S Hospital Pvt Ltd,"#51/2, Nanjappa Main Road, Vidyaranyapura",560097,"080-25566738, 28386118"
HOS-BLR-390,Koshys Hospital,"T.C Palya, Main Road, Raghavendra Nagar",560016,080-25658011
HOS-BLR-1298,Kruthika Hospital,Nanjappa Vidyaranyapura Mainroad,560097,080-28385111
HOS-BLR-2065,Kumar Nethralaya,#562 Rajajinagar 2Nd Block Near Rajkumar Road Esi Hospital,560010,080-23424844
HOS-BLR-19,Lakeside Medical Centre,33/4 Meanee Avenue Road,560042,080-25566738
HOS-BLR-1588,Lalitha Kidney Stone Centre,"#24, East End 'D' Main, Jayanagarjayanagar 9Th Block",560069,080-65651555
HOS-BLR-20,Lokhande'S Hospital,"#3, Ac902, 3Rd Cross. 9Th Amainhrbr Layout, Kalyannagar.Hrbr Layout, Kalyananagar",560043,080-25456222
HOS-BLR-2117,Lakshmi Maternity Home,"# 95, 96, Margosa Road, Malleshwaram",560055,080-23347276
HOS-BLR-2041,Lakshmi Nursing Home,"#567, Chokkasandra, Tumkur Road T-Dasarahallit.Dasarahalli",560057,080-28396992
HOS-BLR-2229,Leela Hospital & Diagnostic Centre,"#133, 10Th Cross, Margosa Road, Malleswaram",560003,080-23311194
HOS-BLR-1345,M.G.A. Hospital,"#96, Varthur Main Roadmarathahalli",560037,080-25232264
HOS-BLR-21,M.S. Ramaiah Memorial Hospital,"Msrit Po, New Bel Road, Msr Nagar",560054,080-22183493
HOS-BLR-254,Maharaja Agrasen Hospital,"15Th Main, Padmanabha Nagar",560070,080-26393361
HOS-BLR-23,Mallige Medical Center,"31/32, Crescent Roadhigh Grounds",560001,080-22203333
HOS-BLR-24,Mallya Hospital,"# 2, Vittal Mallya Road",560001,080-22277979
HOS-BLR-659,Mamta Hospital,"# 12, D. Rajagopal Road, Amar Jyothi Layout, Next To Food World, Nagashetty Halli, Sanjay Nagar",560094,080-23415836
HOS-BLR-294,Manasa Hospital,No 149 15Th Main Iv Blockiii Stage Basaveswaranagar,560079,080-23235599
HOS-BLR-4913,Mirlay Eye Care,"No. 9, St. John'S Church Road, (Opp. St John'S Community Center) Next To Bharathi Nagar Police Station, Bharathi Nagar",560005,080-25558414
HOS-BLR-500,Mangal'S Nursing Home,"1152, 3Rd Main, 6Th Cross, K.N Ext Yashavanthapur",560022,080-23472725
HOS-BLR-1667,Manjunatha Maternity Home & Surgical Centre,"90/1, West Park Road, Malleshwaram",560055,080-23341332
HOS-BLR-4942,Akshay Mallya Hospital,"Varthur Main Road, Marathalli",560037,080-65658127
HOS-BLR-1193,Manjushree Nursing Home Pvt Ltd,"#22/70, St. John'S Road",560042,080-25365325
HOS-BLR-1773,Mathru Hospital,"No.2094, Railway Parallel Road, Kengeri Satellite Town",560060,080-28484238
HOS-BLC-785,"Matru Nursing Home And Trauma Care Center,","425/A, 6Th Main, 3Rd Sta3Rd Block, Basaveshwarnagar",560079,080-23237926
HOS-BLR-2143,Sri Maruthi Nursing Home,"# 37/8, Bagalagunte Bus Stop, Hesaraghatta Main Roadhesaraghatta Main Road",560073,080-28376961
HOS-BLR-2322,Mathru Shree Hospital,"#33, Mei Colony, Laggere Main Road, Laggere",560058,080-28396389
HOS-BLR-25,Namratha Nursing & Maternity Home,"No.158, 6Th Main, 2Nd Stage, 2Nd Phase, West Of Chord Road, 6Th Main",560086,080-23595433
HOS-BLR-249,Narayana Hrudayalaya Pvt Ltd,"258/A, Bommasandra Industrial Area Anekal Taluk, -Area, Anekal Taluk",560099,080-27835000
HOS-BLR-26,Narayana Nethralaya,"C-121, Chord Road, Rajajinagar 1St R Block.R Block",560010,080-66121312
HOS-BLR-864,Nayak Hospital,"3367, 5Th Cross, Gayathri Nagar.Gayathri Nagar",560021,080-23327111
HOS-BLR-937,Neha Prakash Hospital,"# 8, 6Th Main Road, 5Th Phase, Rail -Weel Factory Yelahanka New Townyelahanks New Town",560064,080-28565696
HOS-BLR-81,Nethradhama Hospitals Private Limited,"256/14, Kanakapura Main Road, 7Th Block Jayanagar, -7Th Block, Jayanagar",560082,080-26633533
HOS-BLR-1659,Oxford Hospital,"# 1364, 41St Main Sarakki Gatekanakapura Road, J.P. Nagar",560078,080-26635880
HOS-BLR-453,Padmavathi Hospital,"#67/1, Hvr Complex, Magadi Road",560072,080-23289571
HOS-BLR-250,Panacea Hospitals Private Limited,"#334, Dr. Sidhdajah Puranik Road, 3Rd Stage, 4Th Block, Basaveshwaranagar, -Basaveshwaranagar",560079,080-23235577
HOS-BLR-1795,Patil Hospital,"#42-B1, Below Synicate Bank, Sri Thimmappa Complex, Old Madras Road, Krishnarajapuram.- 5600036",560036,080-32003633
HOS-BLR-27,Prabha Eye Clinic,"No.504, 40Th Cross, 8Th Block, Jayanagar, Jayanagar",560070,080- 26659595
HOS-BLR-1638,Prasad Eye Hospital,"# 11, Krishna Nagar, Hosur Main Road",560029,080-41106887
HOS-BLR-1301,Prasad Hospital,"#1494, B.H. Road Nelamangala Town",562123,080-27722112
HOS-BLR-2098,Pranav Hospital,"Annaiah Reddy Layout, Ramurthy Nagarramamurthy Nagar Main Road",560043,080-25458150
HOS-BLR-2422,Pradnya Nethralaya,"#4, 6Th Cross Dinnur Road Ganesha Block Rt Nagar Opp White House Apartments",560032,080-23431020
HOS-BLR-678,Radhakrishna Multispeciality Hospital,"No. 3-4, Sun-Rise Towers J.P. Road,  Girinagar",560085,080-26422977
HOS-BLR-302,Rajalakshmi Multi Speciality Hospital,"76-1-1, Sarakki Main Road. 1St Phase",560078,080-22440729
HOS-BLR-291,Rajmahal Vilas Hospital,"No.138, Aecs Layout Sanjaynagar",560094,080-23417077
HOS-BLR-28,Rajshekar Hospital,"#21, 9Th Cross, 1St Phase, (Sarakki Layout)J.P. Nagar, -Jp Nagar",560078,080-26642164
HOS-BLR-90,Rashmi Hospital,"190,Double Road,Indiranagar 2Nd Stage",560038,080-25251573
HOS-BLR-30,Ravi Kirloskar Memorial Hospital,"19, 2Nd Main Road 1 Phasepeenya Industrial Area",560058,080-42602431
HOS-BLR-31,Republic Hospital,"5, Langford Garden",560025,080-22215761
HOS-BLR-2090,Reddy Hospital,"#1590, East End Main Road, 39Th Block Jayanagarcross, 9Th Block, Jayanagar",560069,080-22454706
HOS-BLR-2161,Re-Life Hospital,"# 13, Lalbagh Main Road, 3Rd Cross",560027,080- 22105221
HOS-BLR-746,S.J.Hospital,"#2, Ngef Layout, Sanjayanagar Main Rod, Opp To Vaibhav Theatre",560094,080-23416836
HOS-BLR-1270,S.K. Hospital,No-3 1St Cross Jnanabharati Road,560072,080-23213699
HOS-BLR-247,Sagar Hospitals,"44/45, 30Th Cross, Tilaknagar",560041,080-42888888
HOS-BLR-89,Sahana Hospital,"143, 2Nd Main, 7Th Cross, Kengeri Satellite Town",560060,080-69563544
HOS-BLR-1171,Sai Jyoti Nethra Seva,"11, Ulsoor Tank Roadnear Meg Gate",560042,080-25309008
HOS-BLR-32,Santosh Hospital,"6/1, Promenade Roadbehind Coles Park",560005,080-25367706
HOS-BLR-328,Saraswathi Hospital,"39, 17Th C Cross8Th B Main, Bsk 2Nd Stage",560070,080-26760363
HOS-BLR-839,Sarojini Hospital,"#39/2 Yash Avenue,8Th Mile Circle,Nh-4, T.Dasarahalli",560057,080-28396739
HOS-BLR-863,Sathya Hospital,"# 45, C.Ramaiah Layout, Kammanahalli Main Road St.Thomas Town Postkamanahalli Main Road",560084,080-25443604
HOS-BLR-33,Shaker Nursing Home,"#260, Sampige Road, Near 17Thcrossmalleshwaram",560003,080-23345901
HOS-BLR-325,Shanbag Hospital (Unit Of Ananya Hospital Pvt Ltd),"#6, Thimmiah Layout, 1St Main2Nd Block, Basaveshwaranagar",560079,080-23222894
HOS-BLR-316,Shekar Nethralaya Superspeciality Eye Hospital,"No 633, 100Ft Ring Road, J.P.Nagar 3Rd Phase",560078,080-26593210
HOS-BLR-35,Shekhar Hospital,"81, Bull Temple Road",560019,080-22421144
HOS-BLR-2097,Sukruthi Eye Care Microsurgical Centre,"148, Xi Cross, Vyalikaval, Malleswaram 11 Th Crossmalleswaram",560003,080-23566251
HOS-BLR-1381,Shirdi Sai Hospital Pvt Ltd,"#519, 2 Main Nethravathi St, Near B E L Road",560054,080-57654400
HOS-BLR-537,Shushrusha Nursing Home,"B.B.Road, Yelankha",560064,080-28460057
HOS-BLR-1289,Sneha Nursing Home,"# 76/1, 11Th Cross, West Of Chord Road Mahalakshmi Puramweest Of Chord Road",560086,080-23597691
HOS-BLR-1529,Sri Krishna Hospital,"# 154, 29Th Cross, 17Th Mainbanashankari 2Nd Stage",560070,080-26711212
HOS-BLR-36,Sri Raghavendra Hospital,"13/4, T. Dasarahalli, Tumkur Roadtumkur Road",560057,080-4256646
HOS-BLR-439,Sri Ram  Hospital,162 4Th Main 1St Cross Opp Post Officeviveknagar,560047,080-25714323
HOS-BLR-1123,Sri Sai Ram Hospital,"# 33, Bannerghatta Road (Service Road) B.T.M.Layoutb.T.M. Layout 2Nd Stage",560076,080-41202341
HOS-BLR-1014,Sri Vinayaka Hospital,"1222, 80 Feet Road, Chandra Layoutchandra Layout",560040,080-23398062
HOS-BLR-271,Srinivasa Cardiology Centre Private Limited,Millers Road,560050,080-41999401
HOS-BLR-524,St.John'S Medical College  Hospital,"Johnnager, Koramangala.Koramangala",560034,080-22065173
HOS-BLR-987,St.Martha'S Hospital,"No.5, Nrupathunga Road",560001,080-40128200
HOS-BLR-745,Spatica Super Speciality Hospital,"No. L-168, Fernhills Apartment, 6Th Sector, Ring Road, Hsr Layout",560034,080-41108300
HOS-BLR-0,M/S Sudharshana Nethralaya,"#452, Rs Plaze, Sampige Road, Malleshwaram",560003,080-32719976
HOS-BLR-672,Sunayana Eye Hospital,"#1156, 26Th Main, 4Th T Block, Jayanagar",560041,080-22442356
HOS-BLR-528,Sumathi Nursing & Maternity Home & Surgical Gastroenterology Centre,"#426/12, 2Nd Cross, Mathikere Layout",560054,080-23372762
HOS-BLR-1102,Sundar Hospital,"#1&2, Hennur Main Road, Lingarajpuram",560084,080-25478586
HOS-BLR-1532,Sunetra Eye Hospital,"# 519/34, 2Nd Cross, 10Th Main, Banashankari 1St Stage",560050,080-22410500
HOS-BLR-749,Supra South City Hospital,"# 2, Chandra Complex, J.P.Nagar 7Th Phase Puttenahalli7Th Phase, J, P Nagar",560078,080-26634617
HOS-BLR-1195,Mahaveer Eye Hospital Pvt Ltd,"#2, Sirurpark Road, (Behind Nataraja Theatre)Sheshadripuram",560020,080-23562211
HOS-BLR-978,Suresh Hospital,"# 723/B, 3Rd Block, Esi Hospital Road Rajajinagar",560010,080-23382867
HOS-BLR-2019,Subash Medical Centre,"#1678/252, B.M. Road, Bidadi",562109,080-23208868
HOS-BLR-2241,Suprabha Maternity & Medical Centre,"170, 12Th Cross I Main, Mahalaxmi Layout",560086,080-23593832
HOS-BLR-2232,Sri Sai Eye Hospital,"# 311 4B Cross,Ramamurthynagar",560016,080-25658459
HOS-BLR-2277,S.B. Medical Centre (Ideal City Hospital),"No.1 & 2, Balagi Homes, Vinayaka Nagar Road, Bagalur Cross, Opp.Astra Zenica(Rear Gate), Yelahanka",560064,9945072008
HOS-BLR-2434,Seventhday Adventist Medical Centre,"8, Spencer Road, Frazer Town",560005,080-25302839
HOS-BLR-2550,S.G. Hospital,"#30, Anjaneyanagar Ittamadu Main Road Bsk Iii Stage",560085,080-26723002
HOS-BLR-2579,St. Theresa'S Hospital,"1St Block, Rajkumar Road, Rajajinagar",560010,080-23472772
HOS-BLR-635,Tandon Eye Clinic,"#39, 7Th Cross, Vasanthnagar",560052,080-22256115
HOS-BLR-37,The Bangalore Hospital,"#202, R.V.Road, Near Southend Circle",560004,080-41187600
HOS-BLR-4867,Radha Maternity & Surgical Hospital,"#71, Mill Road, Cottonpet",560053,080-26702006
HOS-BLR-1555,The Eye Surgical Centre,"# 1032, Sai Deep, 20Th Main, 5Th Block, Rajaji Nagar",560010,080-23309722
HOS-BLR-1369,Sri Eye Care Laser & Surgical Center,"#98, 98-4.Khm Block, 1St Main, Ganganagar, Main Road, Ganganagar",560032,080-23338502
HOS-BLR-1214,Tirumalai Eye Clinic,"# 320/B, 9Th Main, 5Th Block Jayanagarjayanagar",560041,080-26630974
HOS-BLC-620,Trinity Hospital & Heart Foundation,"# 27, Rammandir Road, Near R.V. Teacher'S College Circle, Basavanagudi.Basavanagudi",560004,080-41503434
HOS-BLR-2217,Udhbhava Hospital,"14, 100Ft Ring Roaf, Banashankari 3Rd Stage",560085,080-26693032
HOS-BLR-272,V.S.Specialist Medical Centre And Neurological Research Institute,"196, 10Th Cross, Wilson Gardenswilson Garden",560027,080-22239433
HOS-BLR-1539,Vaidyam Hospital,"# 851/D, 60Th Cross, 5Th Block, Rajajinagagar",560010,080-23353525
HOS-BLR-273,Venlakh Hospital,"123, 5Th Main Roadchamarajpet",560018,080-26508118
HOS-BLR-1770,Vidya Eye Hospital,"47/E, 15Th Main, M.C Road, Vijayanagar",560040,080-23389854
HOS-BLC-1092,Vijai Hospital,"1St Main Raod 2Nd Cross Pai Lay Out Old Madras Roadpailayout, Old Madras Raod",560016,080-28511011
HOS-BLR-1215,Vasan Eye Care Hospital,"No-5, 20Th Cross, Malagala Under Pass Ring Road Nagarabhavi 2Nd Stage, Bangalore 560091, Karnataka",560091,"080-23183834,32988644"
HOS-BLR-1278,Vijaya Hospital,"#13, 6Th Cross, T.Dasarahalli Main Road T.Dasarahalli, Near Nh",560057,080-28378265
HOS-BLR-527,Vittala International Institute Of Ophthalamology,"C.A. Sete No.1, 2Nd Cross, 7Th Block, Bsk 3Rd Stage, Banashankari",560085,080-26722214
HOS-BLR-1775,Vivekananda Hospital,"# 200, B.U.S. Complex, Bannerugatte Road, Billekahaly",560076,080-30614826
HOS-BLR-2014,Vijaya Ent Care Centre,"# 1, 9Th Cross, Malleswaram",560003,080-23311837
HOS-BLR-2527,Varalakshmi Hospital,"# 38/2, 2Nd Main Road, Madiwala New Extension",560068,080-25539565
HOS-BLR-38,Fortis Hospitals Ltd,"#14, Cunningham Road",560052,080-41994481
HOS-BLR-39,Yellamma Dassappa Hospital,"25, Andree Road, Shanthi Nagar",560027,080-2225642
HOS-BLR-2680,Rajnandini Hospital,"#3, 6Th Cross, Kanankunte, Old Bank Colony",560062,080-26323778
HOS-BLR-2717,Siddhi Eye Care Centre,"# 229, 7Th Cross, 1St Stage, Indiranagar",560038,080-25257125
HOS-BLR-2888,N.R.V. Hospital,V.N.Cros Opp Reliance Petrol Pump B.B. Road,562157,080-28467855
HOS-BLR-2811,Padmabhushan Dr. M.C. Modi Eye Hospital,"Dr. M.C. Modi Road, Mlp Layout",560086,080-40869555
HOS-BLR-2824,Medi-Tech Multispeciality Hospital,"# 795/1, Bsk 1St Stage, 2Nd Block, Hanumanthanagar",560050,080-26509874
HOS-BLR-3202,Kaveri Speciality Hospital,"#15/2, 4Th Cross, Hosur Main Road, Madiwala",560068,080-25537036
HOS-BLR-3223,Mysore Road Hi-Tech Hospital,"No:17, Panthrapalya, Nayandahalli Busstop",560039,080-28602613
HOS-BLR-3257,Punasru Hospital,"Mpm Layout, Opp Ambedkar Engg. College, Nagarabhavi Main Road",560056,080-23218872
HOS-BLR-3226,Ramakrishna Nursing Home,"No:79/18, I St Cross, Vith Main Road, G.D.Park Extension, Vyalikaval",560063,080-23367159
HOS-BLR-3216,Sri Ram Nursing Home,"19 & 56, 6Th Cross, 17Th Main, Muneshwara Block",560026,080-26747011
HOS-BLR-3258,Sri Sai Clinic & Maternity Home,"#652, 46Th Cross A 3Rd Block, Rajajinagar",560010,080-23351958
HOS-BLR-3292,Bangalore Eye Hospital & Retina Centre,"4C, 426 4Th Cross, 2Nd Block, Kalyannagar",560043,080-25421333
HOS-BLR-3311,Abhilash Hospital & Sara Rehabilitation Centre,"#271, 1Ooft Ring Road, 5Th Block, 3Rd Phase, 3Rd Stage, Banashankri",560085,080-26697114
HOS-BLR-3329,Sparsh Hospital For Accidents & Orthopaedics & Plastic Surgery,"29/P2, Health City, Hosur Road, Bommasandra Ind Area",560099,080-33271014
HOS-BLR-3336,Vathsalya Speciality Hospital,"#565, 3Rd Stage, 4Th Block, Basaveshwaranagar",560079,080-23239732
HOS-BLR-412,Hcg Double Road,"#44-45/2, 2Nd Cross, Raja Ram Mohan Roy Extension.Lalbagh Road",560027,080-22225644
HOS-BLR-1633,Jayanagar Orthopaedic Centre,"# 24/1-1, 14Th Main, 4Th Block East, Jayanagar",560011,080-26632735
HOS-BLR-340,Karanth Speciality Hospital,"#307, 100Ft Ring Road, Btm Layout Last Bus Stop.100 Feet Ring Road, B.T.M",560068,080-26680886
HOS-BLR-2930,Sri Vivekananda Sevashrama,"#39, 8Th B Main Raod, Bsk 2Nd Stage",560070,080-26766996
HOS-BLR-1860,Vishwabharathi Hosptial (P) Ltd,"10/4 & 10/5, 3Rd Main Road, Hanumanthnagar",560019,080-26521898
HOS-BLR-274,Vinayaka Hospital,"#110, 80Ft. Road, S>B>M? Colony, Bsk 1St Stage, Hanumanthanagarhanumanthanagar",560050,"080-26764148 , 26796167"
HOS-BLR-2696,Vagh Eye Centre,"73/1-2, 1St Floor, Infantry Road",560001,080-25584156
HOS-BLR-245,Manipal Hospital,"#98, Rustam Bagh, Old Airport Road, Vimanapura, Bangalor",560017,080-25024444
HOS-BLR-2744,Dr. Varma'S Jyothi Prasad Nursing Home Pvt Ltd,"#4, Sfhs, Nandhini Layout",560096,080-23595649
HOS-BLR-2298,Saikrupa Hospital For Women & Surgical Centre,"20Th B Cross, Marenahalli Main Road, Vijayanagar",560040,080-23116492
HOS-BLR-1112,Swathi Galaxy Hospital,"#1764, 14Th Main, 1St Stage, Kumaraswamy Layout, -, Kumaraswamy Layout Police Station Road",560078,080-22908291
HOS-BLR-1093,Spandana Nursing Home,"# 546/46, 6Th Main, 4Th Blockrajajinagar",560010,080-23353500
HOS-BLR-3364,Amrik Nethralaya,"#346, Hrbr 1St Kalyan Nagar, 4Th Cross, 7Th B Main",560043,080-25424714
HOS-BLR-1854,Dr.Natesh E.N.T & Surgical Care Centre,"# 8/45, 80 Ft Rd, Sbm Colony, Bsk Ist Stage, City -Banashankari 1St Stage, ",560050,080-26722602
HOS-BLR-1590,Deepa Hospital,"# 27, Old Madra Road K.R. Puram Ext",560036,080-30911166
HOS-BLR-574,Divakar'S Speciality Hospitals,"No.220, 9Th Cross, J.P.Nagar 2Nd Phase",560078,080-41209550
HOS-BLR-3339,Supriya Hospital,"# 15/1, Ayyappaswamy Temple Road, Prakashnagar",560021,080-23522366
HOS-BLR-472,Lakshmi Hospital,"402, 2Nd Cross Judges Colony",560032,080-23333241
HOS-BLR-2010,Manjushree Hospital,"# 91, Kavalbyrasandra, Dr. A.M.C. Road, R.T.Nagar, Opposite P&T Quatres",560032,080-23632781
HOS-BLR-1945,Mamatha Hospital,"# 1538, 39Th Cross, 4Th Block, Jayanagar",560041,080- 26542060
HOS-BLR-1661,Meenakshi Ent Speciality Centre,"# 2232, 23Rd Cross, Banashankari Ii Stagebanashankari 2Nd Stage, ",560070,080-26764621
HOS-BLC-399,Sri Sai North Side Hospital,"No 8, G -Block, Near Big Market, Sahakar Nagar, 60 Ft Roadsahakarnagar",560092,080-23620844
HOS-BLR-2915,Vinayaka Nethralaya,"#68, 100 Feet Ring Road, Btm Layout",560076,080-26685891
HOS-BLR-3110,Prashantha Hospital,"# 90/D, Bommanahalli Circle, Hosur Road",560068,080-41503714
HOS-BLR-3392,Rajarajeshwari Medical College And Hospital,"Rajarajeshwari Medical College, Kambipura",560074,080-57661805
HOS-BLR-3382,Hcg Hospitals,"11/2, Magadi Main Road, Agarahara Dasarahalli, Bangalore-560079",560079,080-43108100
HOS-BLR-3414,Ashwini Nursing Home,"#9, 1St A Cross. T.C. Palya Main Road, Akshyanagar, Ramamurthy Nagar",560016,080-26991286
