Sl.No,Name,Type,LinkImg,LinkVid,Steps
11,Ashwa Sanchalanasana,Yoga,https://yogaholism.com/wp-content/uploads/2019/08/Ashwa-Sanchalanasana.jpg,https://www.youtube.com/watch?v=1iJPpSfoUrQ,"From Vajrasana stand on your knees keeping the knees and feet together.
Bring the right leg in front so that it forms a 90-degree angle between the thigh and the calf. The right thigh must be parallel to the floor. The knee should be aligned with the ankle.
Keep the arms by the side of right leg. Fingers touches the ground supporting the body to maintain the balance in the posture.
Rest the knee of the left leg on the floor. Look upwards.
This is the final position. Hold this position as long as it is comfortable. Do not strain the body.
To release the posture bring the head down and then take the right leg back to sit in Vajrasana.
Follow the same steps with the other leg.
"
12,Parvatasana,Yoga,http://www.ajarya.com/images/postures/parvatasana.jpg,https://www.youtube.com/watch?v=mlZjn-G5Nlo,"As part of the Surya Namaskara, Parvatasana is performed after Ashwa Sanchalanasana or the equestrian pose. Hence Ashwa Sanc halanasana becomes the starting pose for Parvatasana.
From Ashwa Sanchalanasana, straighten the bend leg and take it backwards. Exhale during this process. Let the right and left foot be together.
Raise the buttocks up. Let the two arms be on the floor and support the body weight. Lower the head to be between the two arms. The body makes the shape of a triangle when observed from the sides. It looks like a mountain and hence the name."
13,Ashtanga Namaskara,Yoga,https://www.styleoga.it/wp-content/uploads/2019/02/ashtanga-namaskara.jpg,https://www.youtube.com/watch?v=bmfE1CScmmo,"
Lower the body so that the body is parallel to the ground.
Let the following parts touch the floor – The two feet, the two knees, the two palms, the chest and the chin.
The hip and abdomen is slightly raised up.
While performing this pose the breath is held outside and the breathing is stopped for few seconds."
14,Kursiasana,Yoga,https://eyogaguru.com/wp-content/uploads/2017/04/chair-pose-utkatasana.jpg,https://www.youtube.com/watch?v=4xyTmX_OMiM,"Stand straight with an erect spine and your arms at your side.
Keep some distance between your feet.
Stretch your hands forward to keep them parallel to the ground. Hands should be straight and palms should be facing downward.
Now bend your knees and bring your pelvis down like sitting on a chair.
Try to brings your thighs parallel to the ground.
Hold this position for one minute and keep breathing normally. Bring a smile on your face.
Now release your pose to come to the starting position
Repeat it for 3-4 times."
15,Vrikshasana,Yoga,https://cdn2.stylecraze.com/wp-content/uploads/2013/09/2339-How-To-Do-The-Vrikshasana-And-What-Are-Its-Benefits-ss.jpg.webp,https://www.youtube.com/watch?v=Dic293YNJI8,"First stand properly and straightly, and place your feet together keep your knees completely straight.
Keep your arms at the particular sides.
Without twisting your left knee, lift up your right foot and hold the lower leg (ankle) from your right hand.
Now fold your right leg at the knee joint.
By using your both hands, put the right heel on the left thigh as high as could be expected under the circumstances. Your toes indicating downwards.
Your right heel ought to press within the thigh.
Now try to balance yourself on the left leg.
After that join your palms and fingers and place them to the side of your left leg.
Also join your palms and fingers and place them to the mid-section of your chest, at that point your fingers should indicating upwards like Namaskar pose or petition to God posture."
16,Trikonasana,Yoga,https://marketing.gaia.com/wp-content/uploads/Triangle_DaynaSeraye-768x432.jpg,https://www.youtube.com/watch?v=S6gB0QHbWFE,"Move the legs 3-4 feet distance apart. Raise both the arms straight out to the sides, in line with the shoulders and parallel to the floor with the palms facing downwards.
Move the right foot to the outside direction. Turn the left foot slightly to the inward direction. The knees must remain straight throughout the practice.
Slowly begin to bend the trunk towards the right side. Make sure the body doesn’t go in the forward direction.
Once the trunk is completely bent the hand must be close to the right ankle with the fingers slightly touching the floor. 
Ideally the right palm rest on the floor. Avoid forcing this position as with regular practice it comes easily on the floor.
Stretch the left arm vertically. Move the head in the upward direction and look straight. "
17,Naukasana,Yoga,https://www.rishikulyogshala.org/wp-content/uploads/2018/04/Boat-Pose.jpg,https://www.youtube.com/watch?v=c0-gWMJRaIk,"Step 1:

First lie down flat on your yoga mat, with your feet together and your arms on the sides.

Step 2:

Keep your arms straight and your fingers outstretched towards your toes.

Step 3:

Start Inhaling and as you exhale, lift your chest and feet off the ground, stretching your arms towards your feet. Feel the tension in your stomach area as the abdominal muscles contract.

Step 4:

Let the weight of your body rest entirely on the buttocks. Make sure your eyes, finger and toes are all in one line. Hold your breath and remain in this position for a few seconds.

Step 5:

Now exhale slowly as you bring the body down to the starting position and relax. You can perform 3-4 repetitions daily but do not overdo it."
18,Paschimottanasana,Yoga,https://www.rishikulyogshala.org/wp-content/uploads/2019/02/Paschimottanasana-Seated-Forward-Bend-Pose-1-720x480.jpg,https://www.youtube.com/watch?v=T8sgVyF4Ux4,"Sit up with the legs stretched out straight in front of you on the floor.
Keep the spine erect and toes flexed towards you.
Bring your respiration to normal.
Breathing in, slowly raise your both the arms straight above your head and stretch up.
Slowly breathe out and bend forward from the hip joint, chin moving toward the toes keeping the spine erect.
Place your hands on your legs, wherever they reach, without putting much effort.
If possible hold of your toes and pull on them to help you go forward."
19,Child's Pose,Yoga,"https://www.verywellfit.com/thmb/L1qqAtlF2_92QCCcmvKwHeAYpIo=/2500x1667/filters:fill(FFDB5D,1)/ChildsPose-5c5d94ce46e0fb00017dd0d9.jpg",https://www.youtube.com/watch?v=CI_JxcErfO0,"Step 1
Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs.

Step 2
On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground. Rest in the pose for as long as needed."
20,Sukhasna,Yoga,https://schoolofyoga.in/wp-content/uploads/2016/12/4-Asana-50-sukhasana-Anu.jpg,https://www.youtube.com/watch?v=ri9B8IzLXIY,This asna takes the yoga practice beyond its physical dimension and helps you get in touch with your spiritual side. Sit comfortably on the mat with crossed legs (left leg tugged inside the right thigh and right leg tugged inside the left thigh). Keep spine straight. Place your hands on your knees
21,Chakrasana,Yoga,http://total-yoga.org/wp-content/uploads/2017/11/Chakrasana-3.jpg,https://www.youtube.com/watch?v=cy-OAwcjXzc,"Lie flat on your back like Shavasana on the ground.
Bend your knees and bring your heels closer to touch your hips. Keep some distance between your feet.
Now raise your hands and bring your palms under your shoulders.
Now while inhaling press your palms and feet on the ground and lift your body up.
Try to raise your hips as much you can.
Hold this position for few seconds (according to your capacity) and keep breathing normally.
Now release your pose slowly to come to the starting position"
22,Viparita Dandasana,Yoga,https://www.yogajournal.com/.image/t_share/MTQ2MTgwNzYxNTk5ODEzMDUz/mc_236_open_sized.jpg,https://www.youtube.com/watch?v=-5inRni3sQY,"Start with upward bow pose.
Breathing should be deeply
Raise your hips.
At the same time shift your knees away from your torso.
Exhale and release your breath.
Slowly up your head from the floor and straighten your arms.
Bend the arms and lay the head between your feet and arms.
Feel the stretches in the shoulder and chest area.
Bring both arms under the head, and make the cup form by your finger around the head.
Feel yourbody weight on your forearms and maintain the balance.
Now slowly by your all strength raise the head and chest up from the floor.
Heels should be placed on the mat.
Don’t be rush. Do it gently.
Straighten your spine, legs and elongate as much as possible."
23,Utthita Parsvakonasana,Yoga,https://previews.123rf.com/images/rilueda/rilueda1606/rilueda160600537/59704803-yoga-extended-side-angle-pose-utthita-parsvakonasana.jpg,https://www.youtube.com/watch?v=aoB5L6AxckU,"Start in Tadasana (Mountain Pose). On an exhalation, step your feet 3–4 feet apart.
Engage your quadriceps muscles by lifting your kneecaps toward your thighs.
On an inhalation, extend your arms out to your sides. 
Place your right hand to the outside of your right foot.
Press through your outer left foot.
"
24,Baddha Konasana,Yoga,http://yoga-can-do.com/wp-content/uploads/2016/12/butterfl.jpg,https://www.youtube.com/watch?v=hRcvSEtoecg,"Sit in the Dandasana (Staff Pose).
Now Bend your knees and join the soles of your feet.
Now hold your feet or ankles.
Move your heels to the groin as so much as doable.
Breathe out and let down your knees to the ground."
25,Bakasana,Yoga,https://wilmingtonyogacenter.com/wp-content/uploads/2018/10/crow-pose-768x512.jpg,https://www.youtube.com/watch?v=k3DsjAV4X8Q,"Wide stretch the fingers of your hands and place the palms on the floor right in front of your feet. Point the fingers forwards and keep the elbows slightly bent.
Lean forward a little in order to bring the knees close to the armpits as much as you can. Transfer your body weight to your arms completely while your toes are still on the floor.
Gently press your knees against the arms and slowly lift your big toes off the floor. Raise your buttocks a little and balance the body solely on your arms.
Lift your head, lengthen your neck. Look straight to focus your gaze on a fixed point. Once you have secured the balance move your feet closer so as to bring the inner edges of your feet together."
26,Dhanurasana,Yoga,https://i.ndtvimg.com/i/2016-06/dhanurasana_625x350_61466409878.jpg,https://www.youtube.com/watch?v=4P2mYcOGxbU,"First of all lie down in prone position.
Exhale, bend your knees and hold the ankles with hands.
While inhaling raise the thighs, head and chest as high as possible.
Try to maintain weight of the body on lower abdomen. Join the ankles. ...
While exhaling, bring down the head and legs up to knee joint."
